title,citation,year,pmid
Non-invasive diagnostic tests for Helicobacter pylori infection.,Cochrane Database Syst Rev 2018 Mar;3:CD012080.,2018,29543326
Eradication Rate of Helicobacter pylori on the US-Mexico Border Using the Urea Breath Test.,South. Med. J. 2018 01;111(1):51-55.,2018,29298370
Are the view of Helicobacter pylori colonized in the oral cavity an illusion?,Exp. Mol. Med. 2017 11;49(11):e397.,2017,29170474
Modified Helicobacter test using a new test meal and a 13C-urea breath test in Helicobacter pylori positive and negative dyspepsia patients on proton pump inhibitors.,World J. Gastroenterol. 2017 Aug;23(32):5954-5961.,2017,28932087
Comparison of two methods for the in-vivo diagnosis of Helicobacter pylori infection using a tablet of 13C-urea.,Minerva Gastroenterol Dietol 2017 Dec;63(4):319-326.,2017,28927248
Diagnosis of Helicobacter pylori infection.,Helicobacter 2017 Sep;22 Suppl 1:.,2017,28891135
May Gender or Ethnicity Affect Delta Over Baseline Values Obtained by 13-C Urea Breath Test?,Rev Recent Clin Trials 2017 ;12(3):187-192.,2017,28814259
Limited effectiveness with a 10-day bismuth-containing quadruple therapy (Pylera® ) in third-line recue treatment for Helicobacter pylori infection. A real-life multicenter study.,Helicobacter 2017 Oct;22(5):.,2017,28771880
"Randomized Clinical Trial: Esomeprazole, Bismuth, Levofloxacin, and Amoxicillin or Cefuroxime as First-Line Eradication Regimens for Helicobacter pylori Infection.",Dig. Dis. Sci. 2017 06;62(6):1580-1589.,2017,28391418
Comparison of Accuracy Between 13C- and 14C-Urea Breath Testing: Is an Indeterminate-Results Category Still Needed?,J Nucl Med Technol 2017 Jun;45(2):87-90.,2017,28280129
Prevalence of gastroesophageal reflux disease in a country with a high occurrence of Helicobacter pylori.,World J. Gastroenterol. 2017 Jan;23(3):525-532.,2017,28210089
New bismuth-containing quadruple therapy in patients infected with Helicobacter pylori: A first Italian experience in clinical practice.,Helicobacter 2017 Jun;22(3):.,2017,28125857
Vonoprazan improves the efficacy of Helicobacter pylori eradication therapy with a regimen consisting of clarithromycin and metronidazole in patients allergic to penicillin.,Helicobacter 2017 Jun;22(3):.,2017,28098408
Diagnostic accuracy of the 14C-urea breath test in Helicobacter pylori infections: a meta-analysis.,Wien. Klin. Wochenschr. 2017 Jan;129(1-2):38-45.,2017,27848071
"Helicobacter pylori infection and its related factors in junior high school students in Nagano Prefecture, Japan.",Helicobacter 2017 Apr;22(2):.,2017,27785853
"Evaluation of the potential inhibitory activity of a combination of L. acidophilus, L. rhamnosus and L. sporogenes on Helicobacter pylori: A randomized double-blind placebo-controlled clinical trial.",Chin J Integr Med 2017 Mar;23(3):176-182.,2017,27761791
Natural 18O and 13C-urea in gastric juice: a new route for non-invasive detection of ulcers.,Anal Bioanal Chem 2017 Jan;409(1):193-200.,2017,27747374
Functional 13C-urea and glucose hydrogen/methane breath tests reveal significant association of small intestinal bacterial overgrowth in individuals with active Helicobacter pylori infection.,Clin. Biochem. 2017 Jan;50(1-2):46-49.,2017,27586816
Use of a least absolute shrinkage and selection operator (LASSO) model to selected ion flow tube mass spectrometry (SIFT-MS) analysis of exhaled breath to predict the efficacy of dialysis: a pilot study.,J Breath Res 2016 09;10(4):046004.,2016,27677705
"Concomitant, bismuth quadruple, and 14-day triple therapy in the first-line treatment of Helicobacter pylori: a multicentre, open-label, randomised trial.",Lancet 2016 11;388(10058):2355-2365.,2016,27769562
Incorporating development of a patient-reported outcome instrument in a clinical drug development program: examples from a heart failure program.,Health Qual Life Outcomes 2016 Sep;14(1):131.,2016,27629389
Helicobacter pylori infection is associated with high methane production during lactulose breath test.,Eur Rev Med Pharmacol Sci 2016 08;20(16):3452-6.,2016,27608906
