title,citation,year,pmid
"A preliminary regional PBPK model of lung metabolism for improving species dependent descriptions of 1,3-butadiene and its metabolites.",Chem. Biol. Interact. 2015 Aug;238:102-10.,2015,26079054
Emissions and ambient air monitoring trends of lower olefins across Texas from 2002 to 2012.,Chem. Biol. Interact. 2015 Nov;241:2-9.,2015,25727265
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Emission factors of gaseous pollutants from recent kerosene space heaters and fuels available in France in 2010.,Indoor Air 2012 Aug;22(4):299-308.,2012,22175715
Urinary levels of volatile organic carcinogen and toxicant biomarkers in relation to lung cancer development in smokers.,Carcinogenesis 2012 Apr;33(4):804-9.,2012,22298640
Evaluation of passive samplers for assessment of community exposure to toxic air contaminants and related pollutants.,Environ. Sci. Technol. 2011 Mar;45(6):2243-9.,2011,21322547
"Health risk assessment of personal inhalation exposure to volatile organic compounds in Tianjin, China.",Sci. Total Environ. 2011 Jan;409(3):452-9.,2011,21078521
The effect of Sao Paulo's smoke-free legislation on carbon monoxide concentration in hospitality venues and their workers.,Tob Control 2011 Mar;20(2):156-62.,2011,21109684
Environmental and biological monitoring of exposures to PAHs and ETS in the general population.,Environ Int 2010 Oct;36(7):763-71.,2010,20591483
Elevated levels of volatile organic carcinogen and toxicant biomarkers in Chinese women who regularly cook at home.,Cancer Epidemiol. Biomarkers Prev. 2010 May;19(5):1185-92.,2010,20406956
"Assessing the distribution of volatile organic compounds using land use regression in Sarnia, ""Chemical Valley"", Ontario, Canada.",Environ Health 2009 Apr;8:16.,2009,19371421
Leukaemia incidence in people living close to an oil refinery.,Environ. Res. 2009 Nov;109(8):985-90.,2009,19781695
The multitude and diversity of environmental carcinogens.,Environ. Res. 2007 Nov;105(3):414-29.,2007,17692309
"Measurement of acrolein and 1,3-butadiene in a single puff of cigarette smoke using lead-salt tunable diode laser infrared spectroscopy.",Spectrochim Acta A Mol Biomol Spectrosc 2007 May;67(1):16-24.,2007,17141561
Lifestyle-related factors and environmental agents causing cancer: an overview.,Biomed. Pharmacother. 2007 Dec;61(10):640-58.,2007,18055160
Development of a physiologically based toxicokinetic model for butadiene and four major metabolites in humans: global sensitivity analysis for experimental design issues.,Chem. Biol. Interact. 2007 May;167(3):168-83.,2007,17397815
Experimental wood smoke exposure in humans.,Inhal Toxicol 2006 Oct;18(11):855-64.,2006,16864403
"Inhalation exposure to 1,3-butadiene and styrene in styrene-butadiene copolymer production.",Int J Hyg Environ Health 2006 Mar;209(2):151-8.,2006,16503301
"The ""Tuebingen desiccator"" system, a tool to study oxidative stress in vivo and inhalation toxicokinetics.",Drug Metab. Rev. 2004 Oct;36(3-4):787-803.,2004,15554247
"Biological monitoring in occupational exposure to low levels of 1,3-butadiene.",Toxicol. Lett. 2004 Apr;149(1-3):353-60.,2004,15093281
"Personal exposure to 1,3-butadiene in a petrochemical plant, assessed by use of diffusive samplers.",Int Arch Occup Environ Health 2004 May;77(4):288-92.,2004,14999482
"Comparison of breath, blood and urine concentrations in the biomonitoring of environmental exposure to 1,3-butadiene, 2,5-dimethylfuran, and benzene.",Int Arch Occup Environ Health 2003 Jul;76(6):461-6.,2003,12687377
"Human physiologic factors in respiratory uptake of 1,3-butadiene.",Environ. Health Perspect. 2001 Sep;109(9):921-6.,2001,11673121
"Genetic and dietary factors affecting human metabolism of 1,3-butadiene.",Chem. Biol. Interact. 2001 Jun;135-136:407-28.,2001,11397404
"Development of a preliminary physiologically based toxicokinetic (PBTK) model for 1,3-butadiene risk assessment.",Chem. Biol. Interact. 2001 Jun;135-136:303-22.,2001,11397398
Sites and mechanisms for uptake of gases and vapors in the respiratory tract.,Toxicology 2001 Mar;160(1-3):165-72.,2001,11246136
"Human sensitivity to 1,3-butadiene: role of microsomal epoxide hydrolase polymorphisms.",Carcinogenesis 2001 Mar;22(3):415-23.,2001,11238181
An analysis of the health benefits associated with the use of MTBE reformulated gasoline and oxygenated fuels in reducing atmospheric concentrations of selected volatile organic compounds.,Risk Anal. 1997 Dec;17(6):683-91.,1997,9463925
"Biomonitoring of 1,3-butadiene and related compounds.",Environ. Health Perspect. 1996 Oct;104 Suppl 5:907-15.,1996,8933033
An automated exposure system for human inhalation study.,Arch. Environ. Health 2002 May-Jun;57(3):215-23.,,12507174
