title,citation,year,pmid
Monitoring of breath VOCs and electrical impedance tomography under pulmonary recruitment in mechanically ventilated patients.,J Breath Res 2017 01;11(1):016005.,2017,28068288
Recent analytical approaches to detect exhaled breath ammonia with special reference to renal patients.,Anal Bioanal Chem 2017 Jan;409(1):21-31.,2017,27595582
A new measurement protocol to differentiate sources of halitosis.,Acta Odontol. Scand. 2016 Jul;74(5):380-4.,2016,27167742
Quantitative analysis of volatile metabolites released in vitro by bacteria of the genus Stenotrophomonas for identification of breath biomarkers of respiratory infection in cystic fibrosis.,J Breath Res 2015 Apr;9(2):027104.,2015,25830686
Study on the kinetic characteristics of trace harmful gases for a two-person-30-day integrated CELSS test.,Environ Sci Pollut Res Int 2015 May;22(9):7020-4.,2015,25483969
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Fast and accurate exhaled breath ammonia measurement.,J Vis Exp 2014 Jun;(88):.,2014,24962141
"Breath analysis of ammonia, volatile organic compounds and deuterated water vapor in chronic kidney disease and during dialysis.",Bioanalysis 2014 Mar;6(6):843-57.,2014,24702114
Factors influencing breath ammonia determination.,J Breath Res 2013 Sep;7(3):037101.,2013,23774041
Assessment of indoor airborne contamination in a wastewater treatment plant.,Environ Monit Assess 2013 Jan;185(1):59-72.,2013,22322406
Method development for determining the malodor source and pollution in industrial park.,Sci. Total Environ. 2012 Oct;437:270-5.,2012,22944219
A selective nanosensor device for exhaled breath analysis.,J Breath Res 2011 Sep;5(3):037110.,2011,21896971
Chemical exposure and occupational symptoms among Portuguese hairdressers.,J. Toxicol. Environ. Health Part A 2011 ;74(15-16):993-1000.,2011,21707424
Environmental tobacco smoke (ETS) evaluation of a third-generation electrically heated cigarette smoking system (EHCSS).,Regul. Toxicol. Pharmacol. 2008 Nov;52(2):118-21.,2008,18639603
Does Haber's law apply to human sensory irritation?,Inhal Toxicol 2006 Jun;18(7):457-71.,2006,16603477
Exhaled breath condensate pH assays are not influenced by oral ammonia.,Thorax 2005 Jan;60(1):27-31.,2005,15618579
Exhaled breath condensate acidification in acute lung injury.,Respir Med 2003 Nov;97(11):1188-94.,2003,14635972
The 3-year follow-up study in a block of flats - experiences in the use of the Finnish indoor climate classification.,Indoor Air 2003 Jun;13(2):136-47.,2003,12756007
Comparison of nasal and oral inhalation during exhaled breath condensate collection.,Am. J. Respir. Crit. Care Med. 2003 Mar;167(6):850-5.,2003,12493648
Influence of dietary protein supplements on the formation of bacterial metabolites in the colon.,Gut 1997 Jul;41(1):70-6.,1997,9274475
Age does not affect airway pH and ammonia as determined by exhaled breath measurements.,Lung 2006 Jul-Aug;184(4):195-200.,,17006745
