title,citation,year,pmid
On-line quantification and human health risk assessment of organic by-products from the removal of toluene in air using non-thermal plasma.,Chemosphere 2018 Mar;194:139-146.,2018,29202266
Editor's Highlight: Prospective Analyses of Volatile Organic Compounds in Obstructive Sleep Apnea Patients.,Toxicol. Sci. 2017 04;156(2):362-374.,2017,28003437
Breath acetone as a potential marker in clinical practice.,J Breath Res 2017 06;11(2):024002.,2017,28294105
Impact of Exhaled Breath Acetone in the Prognosis of Patients with Heart Failure with Reduced Ejection Fraction (HFrEF). One Year of Clinical Follow-up.,PLoS ONE 2016 ;11(12):e0168790.,2016,28030609
FEV manoeuvre induced changes in breath VOC compositions: an unconventional view on lung function tests.,Sci Rep 2016 06;6:28029.,2016,27311826
"Cinema audiences reproducibly vary the chemical composition of air during films, by broadcasting scene specific emissions on breath.",Sci Rep 2016 05;6:25464.,2016,27160439
Dielectric barrier discharge micro-plasma emission spectrometry for the detection of acetone in exhaled breath.,Talanta 2016 Jan;146:603-8.,2016,26695309
Comparison between Thermal Desorption Tubes and Stainless Steel Canisters Used for Measuring Volatile Organic Compounds in Petrochemical Factories.,Ann Occup Hyg 2016 Apr;60(3):348-60.,2016,26585828
Measuring breath acetone for monitoring fat loss: Review.,Obesity (Silver Spring) 2015 Dec;23(12):2327-34.,2015,26524104
Au-modified three-dimensional In₂O₃ inverse opals: synthesis and improved performance for acetone sensing toward diagnosis of diabetes.,Nanoscale 2015 Aug;7(30):13051-60.,2015,26172336
An acetone bio-sniffer (gas phase biosensor) enabling assessment of lipid metabolism from exhaled breath.,Biosens Bioelectron 2015 Nov;73:208-213.,2015,26079672
Preparation and Gas Sensing Properties of In2O3/Au Nanorods for Detection of Volatile Organic Compounds in Exhaled Breath.,Sci Rep 2015 Jun;5:10717.,2015,26030482
Modeling-based determination of physiological parameters of systemic VOCs by breath gas analysis: a pilot study.,J Breath Res 2015 May;9(3):036002.,2015,25972041
Detection of volatile organic compounds indicative of human presence in the air.,J Sep Sci 2015 Jul;38(14):2463-9.,2015,25944350
Study of the exhaled acetone in type 1 diabetes using quantum cascade laser spectroscopy.,Anal. Chem. 2015 Jan;87(1):507-12.,2015,25506743
