title,citation,year,pmid
Rare occupational cause of nasal septum perforation: Nickel exposure.,Int J Occup Med Environ Health 2017 Oct;30(6):963-967.,2017,28839290
Reduced graphene oxide-nickel nanoparticles/biopolymer composite films for the sub-millimolar detection of glucose.,Analyst 2016 Jun;141(13):4151-61.,2016,27214596
Manganese in exhaled breath condensate: a new marker of exposure to welding fumes.,Toxicol. Lett. 2014 Apr;226(1):63-9.,2014,24508310
[Urban individual exposure to cadmium and baroreceptor response to posture].,Clin Ter 2014 ;165(3):e205-12.,2014,24999575
Case report of occupational asthma induced by polyvinyl chloride and nickel.,J. Korean Med. Sci. 2013 Oct;28(10):1540-2.,2013,24133363
Health status within the precincts of a nickel-copper mining and smelting environment.,Afr Health Sci 2011 Mar;11(1):90-6.,2011,21572863
Reconstruction of tracheal wall defect with a mesh patch of nickel-titanium shape-memory alloy.,Ann. Otol. Rhinol. Laryngol. 2011 Mar;120(3):198-203.,2011,21510146
Urinary elimination of nickel and cobalt in relation to airborne nickel and cobalt exposures in a battery plant.,Int Arch Occup Environ Health 2007 May;80(6):527-31.,2007,17136408
[Forty-three tracheal stricture with Ni-Ti shape memory alloy stent].,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi 2005 Apr;40(4):261-5.,2005,16008258
Gene expression profiling of hypoxia signaling in human hepatocellular carcinoma cells.,Physiol. Genomics 2005 Aug;22(3):308-18.,2005,15942021
Evaluation of the human nickel retention model with workplace data.,Regul. Toxicol. Pharmacol. 2001 Apr;33(2):165-72.,2001,11350199
Cloning of differentially expressed sequence tags from nickel-transformed human embryonic lung cells.,Cancer Lett. 2000 Dec;161(1):57-62.,2000,11078913
Assessment of historical exposures in a nickel refinery in Norway.,Scand J Work Environ Health 2000 Aug;26(4):338-45.,2000,10994800
Occupational exposure to chromium and nickel in the 1980s in Finland.,Sci. Total Environ. 1997 Jun;199(1-2):91-101.,1997,9200851
Persistent neurotoxicity from a battery fire: is cadmium the culprit?,South. Med. J. 1996 Jul;89(7):693-8.,1996,8685756
Relation between various chromium compounds and some other elements in fumes from manual metal arc stainless steel welding.,Br J Ind Med 1993 Mar;50(3):244-51.,1993,8457491
Acute nickel carbonyl poisoning.,Am J Emerg Med 1993 Jan;11(1):64-6.,1993,8383493
Cross-shift and chronic effects of stainless-steel welding related to internal dosimetry of chromium and nickel.,Am. J. Ind. Med. 1990 ;17(5):607-15.,1990,2337084
Acute nickel toxicity in electroplating workers who accidently ingested a solution of nickel sulfate and nickel chloride.,Am. J. Ind. Med. 1988 ;14(3):257-66.,1988,3189343
Dust in dental laboratories. Part I: Types and levels in specific operations.,J Prosthet Dent 1980 Jun;43(6):687-92.,1980,6929337
Lactose intolerance in systemic nickel allergy syndrome.,Int J Immunopathol Pharmacol 2011 Apr-Jun;24(2):535-7.,,21658331
