title,citation,year,pmid
Graphene packed needle trap device as a novel field sampler for determination of perchloroethylene in the air of dry cleaning establishments.,Talanta 2015 Jan;131:142-8.,2015,25281085
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Green determination of the presence of volatile organic compounds in vehicle repair shops through passive sampling.,Talanta 2012 Aug;98:40-8.,2012,22939126
"Submarines, spacecraft and exhaled breath.",J Breath Res 2012 Mar;6(1):019001.,2012,22366644
Translational research to develop a human PBPK models tool kit-volatile organic compounds (VOCs).,J. Toxicol. Environ. Health Part A 2012 ;75(1):6-24.,2012,22047160
Exposure to fluoropolymers and VOCs during spray sealant product use.,Inhal Toxicol 2011 Sep;23(11):641-57.,2011,21879949
Monitoring of occupational exposure to volatile organohalogen solvents (VOXs) in human urine samples of dry-cleaner workers by TLHS-DAI-GC-ECD procedure.,Ind Health 2011 ;49(1):126-32.,2011,20823626
Bayesian analysis of a physiologically based pharmacokinetic model for perchloroethylene in humans.,J. Toxicol. Environ. Health Part A 2010 ;73(1):74-91.,2010,19953421
Estimating risk during showering exposure to VOCs of workers in a metal-degreasing facility.,J. Toxicol. Environ. Health Part A 2007 Apr;70(7):627-37.,2007,17365617
Cancer mortality in workers exposed to organochlorine compounds in the pulp and paper industry: an international collaborative study.,Environ. Health Perspect. 2006 Jul;114(7):1007-12.,2006,16835051
Bio-effect monitoring using a [(15)N]methacetin test as diagnostic tool to monitor remediation effects in an industrially polluted region.,Toxicol. Lett. 2006 Apr;162(2-3):234-8.,2006,16242870
Volatile organic compounds inhibit human and rat neuronal nicotinic acetylcholine receptors expressed in Xenopus oocytes.,Toxicol. Appl. Pharmacol. 2005 May;205(1):77-88.,2005,15885267
Impact of tetrachloroethylene-contaminated drinking water on the risk of breast cancer: using a dose model to assess exposure in a case-control study.,Environ Health 2005 Feb;4(1):3.,2005,15733317
The risk of MTBE relative to other VOCs in public drinking water in California.,Risk Anal. 2004 Jun;24(3):621-34.,2004,15209934
Variability of environmental exposures to volatile organic compounds.,J Expo Anal Environ Epidemiol 2004 Jan;14(1):92-107.,2004,14726948
Application of solid-phase microextraction and gas chromatography-mass spectrometry to the determination of volatile organic compounds in end-exhaled breath samples.,J Chromatogr A 2003 Sep;1011(1-2):125-34.,2003,14518769
Apartment residents' and day care workers' exposures to tetrachloroethylene and deficits in visual contrast sensitivity.,Environ. Health Perspect. 2002 Jul;110(7):655-64.,2002,12117642
The influence of maternal exposure to volatile organic compounds on the cytokine secretion profile of neonatal T cells.,Environ. Toxicol. 2002 ;17(3):203-10.,2002,12112628
PBPK modeling of the percutaneous absorption of perchloroethylene from a soil matrix in rats and humans.,Toxicol. Sci. 2002 May;67(1):17-31.,2002,11961212
"Tetrachloroethylene in drinking water and birth outcomes at the US Marine Corps Base at Camp Lejeune, North Carolina.",Am. J. Epidemiol. 2001 Nov;154(10):902-8.,2001,11700244
A physiologically based pharmacokinetic assessment of tetrachloroethylene in groundwater for a bathing and showering determination.,Risk Anal. 1993 Feb;13(1):37-49.,1993,8451459
Inhalation exposure in the home to volatile organic contaminants of drinking water.,Sci. Total Environ. 1985 Dec;47:443-60.,1985,4089611
Carcinogenic and mutagenic properties of chemicals in drinking water.,Sci. Total Environ. 1985 Dec;47:385-413.,1985,3911417
[A gas chromatographic assay of fifteen volatile organic solvents in blood (author's transl)].,Clin. Chim. Acta 1974 Oct;56(1):5-11.,1974,4417896
