title,citation,year,pmid
Urine cysteinyl leukotriene levels in children with sleep disordered breathing before and after adenotonsillectomy.,Int. J. Pediatr. Otorhinolaryngol. 2017 Mar;94:112-116.,2017,28167000
Utility of low-dose oral aspirin challenges for diagnosis of aspirin-exacerbated respiratory disease.,Ann. Allergy Asthma Immunol. 2016 Apr;116(4):321-328.e1.,2016,26822279
Aspirin provocation increases 8-iso-PGE2 in exhaled breath condensate of aspirin-hypersensitive asthmatics.,Prostaglandins Other Lipid Mediat. 2015 Sep;121(Pt B):163-9.,2015,26209241
Low-level environmental tobacco smoke exposure and inflammatory biomarkers in children with asthma.,J Asthma 2014 May;51(4):355-9.,2014,24580138
ALOX5 polymorphism associates with increased leukotriene production and reduced lung function and asthma control in children with poorly controlled asthma.,Clin. Exp. Allergy 2013 May;43(5):512-20.,2013,23600541
Asthma outcomes: biomarkers.,J. Allergy Clin. Immunol. 2012 Mar;129(3 Suppl):S9-23.,2012,22386512
Airway molecular phenotypes in pediatric asthma.,Curr Opin Allergy Clin Immunol 2011 Apr;11(2):122-6.,2011,21358402
Urinary leukotriene E₄ levels identify children with tobacco smoke exposure at risk for asthma exacerbation.,J. Allergy Clin. Immunol. 2011 Aug;128(2):323-7.,2011,21807251
"Urinary leukotriene E4, obesity, and adenotonsillar hypertrophy in Chinese children with sleep disordered breathing.",Sleep 2011 Aug;34(8):1135-041.,2011,21804676
Urinary leukotriene E4/exhaled nitric oxide ratio and montelukast response in childhood asthma.,J. Allergy Clin. Immunol. 2010 Sep;126(3):545-51.e1-4.,2010,20816189
Recent advances in antileukotriene therapy.,Curr Opin Allergy Clin Immunol 2010 Aug;10(4):370-6.,2010,20585242
Menopausal asthma: a new biological phenotype?,Allergy 2010 Oct;65(10):1306-12.,2010,20557302
Biomarkers in asthma.,Curr Opin Pulm Med 2009 Jan;15(1):12-8.,2009,19077700
"Pediatric biomarkers in asthma: exhaled nitric oxide, sputum eosinophils and leukotriene E4.",Curr Opin Allergy Clin Immunol 2008 Apr;8(2):154-7.,2008,18317025
Exposure to tobacco smoke increases leukotriene E4-related albuterol usage and response to montelukast.,J. Allergy Clin. Immunol. 2008 Jun;121(6):1365-71.,2008,18439662
Bronchial responsiveness to leukotriene D4 is resistant to inhaled fluticasone propionate.,J. Allergy Clin. Immunol. 2006 Jul;118(1):78-83.,2006,16815141
How does exercise cause asthma attacks?,Curr Opin Allergy Clin Immunol 2006 Feb;6(1):37-42.,2006,16505610
Exhaled eicosanoids following oral aspirin challenge in asthmatic patients.,Clin. Exp. Allergy 2004 Dec;34(12):1899-904.,2004,15663565
Relationship of exhaled nitric oxide to clinical and inflammatory markers of persistent asthma in children.,J. Allergy Clin. Immunol. 2003 Nov;112(5):883-92.,2003,14610474
"Urinary leukotriene E(4), eosinophil protein X, and nasal eosinophil cationic protein are not associated with respiratory symptoms in 1-year-old children.",Allergy 2001 Sep;56(9):883-8.,2001,11551254
Exhaled nitric oxide following leukotriene E(4) and methacholine inhalation in patients with asthma.,Am. J. Respir. Crit. Care Med. 2000 Nov;162(5):1685-9.,2000,11069797
"Local generation of sulfidopeptide leukotrienes upon nasal provocation with cold, dry air.",Am. Rev. Respir. Dis. 1986 Jun;133(6):1133-7.,1986,3013056
Immunomagnetic molecular probe with UHPLC-MS/MS: a promising way for reliable bronchial asthma diagnostics based on quantification of cysteinyl leukotrienes.,J Pharm Biomed Anal 2013 Jul-Aug;81-82:108-17.,,23644905
Effect of inhaled corticosteroid treatment on exhaled breath condensate leukotriene E(4) in children with mild asthma.,Allergy Asthma Proc 2008 Jul-Aug;29(4):371-5.,,18702883
