title,citation,year,pmid
Metabolism of uniformly labeled 13C-eicosapentaenoic acid and 13C-arachidonic acid in young and old men.,Am. J. Clin. Nutr. 2017 Aug;106(2):467-474.,2017,28659301
Elevated prostaglandin E metabolites and abnormal plasma fatty acids at baseline in pediatric cystic fibrosis patients: a pilot study.,Prostaglandins Leukot. Essent. Fatty Acids 2016 10;113:46-49.,2016,27720040
Kinetics of 13C-DHA before and during fish-oil supplementation in healthy older individuals.,Am. J. Clin. Nutr. 2014 Jul;100(1):105-12.,2014,24829492
Disturbance in uniformly 13C-labelled DHA metabolism in elderly human subjects carrying the apoE ε4 allele.,Br. J. Nutr. 2013 Nov;110(10):1751-9.,2013,23631810
The role of docosahexaenoic and the marine food web as determinants of evolution and hominid brain development: the challenge for human sustainability.,Nutr Health 2012 Jan;21(1):17-39.,2012,22544773
Prenatal docosahexaenoic acid supplementation and infant morbidity: randomized controlled trial.,Pediatrics 2011 Sep;128(3):e505-12.,2011,21807696
Impact of a novel nutritional formula on asthma control and biomarkers of allergic airway inflammation in children.,Clin. Exp. Allergy 2010 Aug;40(8):1163-74.,2010,20545703
Plasma omega-3 fatty acid response to a fish oil supplement in the healthy elderly.,Lipids 2008 Nov;43(11):1085-9.,2008,18795357
Protectin D1 is generated in asthma and dampens airway inflammation and hyperresponsiveness.,J. Immunol. 2007 Jan;178(1):496-502.,2007,17182589
"Variation in [U-13C] alpha linolenic acid absorption, beta-oxidation and conversion to docosahexaenoic acid in the pre-term infant fed a DHA-enriched formula.",Pediatr. Res. 2006 Feb;59(2):271-5.,2006,16439591
[Hydroa vacciniforme: dietary fish oil].,Ann Dermatol Venereol 2001 Mar;128(3 Pt 1):247-9.,2001,11319390
Effects of dietary alpha-linolenic acid on the conversion and oxidation of 13C-alpha-linolenic acid.,Lipids 2000 Feb;35(2):137-42.,2000,10757543
Oxidation of an oil rich in docosahexaenoic acid compared to linoleic acid in lactating women.,Ann. Nutr. Metab. 1999 ;43(6):339-45.,1999,10725767
Lipid peroxidation during n-3 fatty acid and vitamin E supplementation in humans.,Lipids 1997 May;32(5):535-41.,1997,9168460
Combinations of distinct long-chain polyunsaturated fatty acid species for improved dietary treatment against allergic bronchial asthma.,Nutrition 2016 Nov-Dec;32(11-12):1165-70.,,27297719
