title,citation,year,pmid
Acute respiratory effects and biomarkers of inflammation due to welding-derived nanoparticle aggregates.,Int Arch Occup Environ Health 2017 Jul;90(5):451-463.,2017,28258373
[Determination of biomarkers in exhaled breath condensation of acute exacerbation of chronic obstructive pulmonary disease and its clinical implications].,Zhonghua Jie He He Hu Xi Za Zhi 2017 Feb;40(2):114-117.,2017,28209042
A novel monoclonal antibody suitable for the detection of leukotriene B4.,Biochem. Biophys. Res. Commun. 2017 Jan;482(4):1054-1059.,2017,27913298
"A novel biomarker associated with distress in humans: calcium-binding protein, spermatid-specific 1 (CABS1).",Am. J. Physiol. Regul. Integr. Comp. Physiol. 2017 06;312(6):R1004-R1016.,2017,28381457
Effects of academic exam stress on nasal leukotriene B4 and vascular endothelial growth factor in asthma and health.,Biol Psychol 2016 07;118:44-51.,2016,27143192
Biomarkers of inflammation in persons with chronic tetraplegia.,J Breath Res 2015 May;9(3):036001.,2015,25971935
Evaluation of Airway Inflammation in Compost Workers Exposed to Bioaerosols Using Exhaled Breath Condensate and Fractional Exhaled Nitric Oxide.,Adv. Exp. Med. Biol. 2015 ;858:57-67.,2015,25786401
Elevated exhaled leukotriene B₄ in the small airway compartment in children with asthma.,Ann. Allergy Asthma Immunol. 2015 Feb;114(2):111-6.,2015,25624130
Exhaled Hydrogen Sulfide Predicts Airway Inflammation Phenotype in COPD.,Respir Care 2015 Feb;60(2):251-8.,2015,25336529
"[Determining asthma treatment in children by monitoring fractional exhaled nitric oxide, sputum eosinophils and leukotriene B₄].",An Pediatr (Barc) 2015 Jan;82(1):e21-5.,2015,24857428
"Serum leukotrienes, circulating neutrophils, and high sensitivity C-reactive protein in Chinese children with sleep-disordered breathing.",Int. Immunopharmacol. 2014 Sep;22(1):120-5.,2014,24975656
Correlation of inflammatory markers with echocardiographic parameters of left and right ventricular function in patients with chronic obstructive pulmonary disease and cardiovascular diseases.,Pol. Arch. Med. Wewn. 2014 ;124(6):290-7.,2014,24824617
Using high-performance liquid chromatography with UV detector to quantify exhaled leukotriene B4 level in nonatopic adults.,J. Formos. Med. Assoc. 2014 Aug;113(8):566-8.,2014,24491995
The effect of the novel phosphodiesterase-4 inhibitor MEM 1414 on the allergen induced responses in mild asthma.,BMC Pulm Med 2014 Oct;14:166.,2014,25351474
Inflammatory biomarkers in sputum predict COPD exacerbations.,Lung 2013 Aug;191(4):413-6.,2013,23689877
Comparison of different non-invasive methods for detection of allergic asthma.,Adv. Exp. Med. Biol. 2013 ;755:55-63.,2013,22826049
Impact of different welding techniques on biological effect markers in exhaled breath condensate of 58 mild steel welders.,J. Toxicol. Environ. Health Part A 2012 ;75(8-10):525-32.,2012,22686312
