title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Perinatal exposure to hazardous air pollutants and autism spectrum disorders at age 8.,Epidemiology 2010 Sep;21(5):631-41.,2010,20562626
Proteome changes in human bronchoalveolar cells following styrene exposure indicate involvement of oxidative stress in the molecular-response mechanism.,Proteomics 2009 Nov;9(21):4920-33.,2009,19862763
Cognitive impairment and olfactory panic from occupational exposure to VOCs.,Am. J. Ind. Med. 2006 Oct;49(10):862-4.,2006,16960889
T(H1)-directed modulation of in vitro cytokine production in human peripheral blood mononuclear cells by styrene-7.8-oxide.,Toxicol. Lett. 2006 Jan;160(2):105-11.,2006,16111840
Internal exposure of children by simulated acute inhalation of volatile organic compounds: the influence of chemical properties on the child/adult concentration ratio.,Basic Clin. Pharmacol. Toxicol. 2005 Mar;96(3):242-3.,2005,15733221
"Personal, indoor, and outdoor VOC exposures in a probability sample of children.",J Expo Anal Environ Epidemiol 2004 ;14 Suppl 1:S4-S13.,2004,15118740
Risk assessment of exposure to volatile organic compounds in different indoor environments.,Environ. Res. 2004 Jan;94(1):57-66.,2004,14643287
Measurement of volatile organic compounds inside automobiles.,J Expo Anal Environ Epidemiol 2003 Jan;13(1):31-41.,2003,12595882
Aggression in boat builders: a search for altered mood states in boat builders exposed to styrene.,Occup Med (Lond) 2000 Apr;50(3):185-92.,2000,10912362
"Passive smoking, excretion of metabolites, and health effects: results of the Leipzig's Allergy Risk Study (LARS).",Arch. Environ. Health 2002 Jul-Aug;57(4):326-31.,,12530599
