title,citation,year,pmid
"Poly arginine-graphene quantum dots as a biocompatible and non-toxic nanocomposite: Layer-by-layer electrochemical preparation, characterization and non-invasive malondialdehyde sensory application in exhaled breath condensate.",Mater Sci Eng C Mater Biol Appl 2017 Jun;75:247-258.,2017,28415460
Sensitive determination of malondialdehyde in exhaled breath condensate and biological fluids by capillary electrophoresis with laser induced fluorescence detection.,Talanta 2017 Jul;169:85-90.,2017,28411827
Markers of lipid oxidative damage in the exhaled breath condensate of nano TiO2 production workers.,Nanotoxicology 2017 02;11(1):52-63.,2017,27855548
"Exhaled breath malondialdehyde, spirometric results and dust exposure assessment in ceramics production workers.",Int J Occup Med Environ Health 2015 ;28(1):81-9.,2015,26159950
Direct detection and quantification of malondialdehyde vapour in humid air using selected ion flow tube mass spectrometry supported by gas chromatography/mass spectrometry.,Rapid Commun. Mass Spectrom. 2015 Jun;29(11):1069-79.,2015,26044275
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Hyperbaric oxygen diving affects exhaled molecular profiles in men.,Respir Physiol Neurobiol 2014 Jul;198:20-4.,2014,24703972
Urinary benzene metabolite and insulin resistance in elderly adults.,Sci. Total Environ. 2014 Jun;482-483:260-8.,2014,24657371
Residential proximity to a major roadway is associated with features of asthma control in children.,PLoS ONE 2012 ;7(5):e37044.,2012,22615884
Oxidative stress in the airways of children with asthma and allergic rhinitis.,Pediatr Allergy Immunol 2012 Sep;23(6):556-61.,2012,22435922
Inflammatory markers in exhaled breath condensate in patients with asthma and rhinitis.,Tuberk Toraks 2012 ;60(4):321-6.,2012,23289461
"Burnt sugarcane harvesting: particulate matter exposure and the effects on lung function, oxidative stress, and urinary 1-hydroxypyrene.",Sci. Total Environ. 2012 Oct;437:200-8.,2012,22940481
Diaphragmatic breathing exercise as a therapeutic intervention for control of oxidative stress in type 2 diabetes mellitus.,Complement Ther Clin Pract 2012 Aug;18(3):151-3.,2012,22789789
Effects on airways of short-term exposure to two kinds of wood smoke in a chamber study of healthy humans.,Inhal Toxicol 2012 Jan;24(1):47-59.,2012,22220980
Oxidative stress markers in exhaled breath condensate in lung fibroses are not significantly affected by systemic diseases.,Ind Health 2011 ;49(6):746-54.,2011,22020018
Oxidative status in the lungs associated with tobacco smoke exposure.,Clin. Chem. Lab. Med. 2011 Sep;49(12):2007-12.,2011,21913795
Pulmonary function and oxidative stress in workers exposed to styrene in plastic factory: occupational hazards in styrene-exposed plastic factory workers.,Hum Exp Toxicol 2011 Nov;30(11):1743-50.,2011,21382913
Changes in oxidative stress biomarker and gene expression levels in workers exposed to volatile organic compounds.,Ind Health 2011 ;49(1):8-14.,2011,20823639
Activities of antioxidant enzymes in relation to oxidative and nitrosative challenges in childhood asthma.,J Asthma 2011 May;48(4):351-7.,2011,21401389
Polycyclic aromatic hydrocarbon-induced oxidative stress and lipid peroxidation in relation to immunological alteration.,Occup Environ Med 2011 Sep;68(9):653-8.,2011,21126960
Exposure to volatile organic compounds and loss of pulmonary function in the elderly.,Eur. Respir. J. 2010 Dec;36(6):1270-6.,2010,20351028
Evaluation of Alternate Isotope-Coded Derivatization Assay (AIDA) in the LC-MS/MS analysis of aldehydes in exhaled breath condensate.,J. Chromatogr. B Analyt. Technol. Biomed. Life Sci. 2010 Oct;878(27):2616-22.,2010,20207205
Recombinant human activated protein C attenuates cardiovascular and microcirculatory dysfunction in acute lung injury and septic shock.,Crit Care 2010 ;14(6):R217.,2010,21110850
Effect of t'ai chi exercise on biochemical profiles and oxidative stress indicators in obese patients with type 2 diabetes.,J Altern Complement Med 2010 Nov;16(11):1153-9.,2010,20973735
Genotoxicity in filling station attendants exposed to petroleum hydrocarbons.,Ann Occup Hyg 2010 Nov;54(8):944-54.,2010,20956619
Acute effects of motor vehicle traffic-related air pollution exposures on measures of oxidative stress in human airways.,Ann. N. Y. Acad. Sci. 2010 Aug;1203:107-12.,2010,20716291
"Early incidence of occupational asthma among young bakers, pastry-makers and hairdressers: design of a retrospective cohort study.",BMC Public Health 2010 Apr;10:206.,2010,20420675
Systemic and pulmonary oxidative stress after single-leg exercise in COPD.,Chest 2009 Nov;136(5):1291-1300.,2009,19696125
"Acute effects of air pollution on pulmonary function, airway inflammation, and oxidative stress in asthmatic children.",Environ. Health Perspect. 2009 Apr;117(4):668-74.,2009,19440509
How volatile organic compounds affect free radical and antioxidant enzyme activity in textile workers.,Arh Hig Rada Toksikol 2008 Dec;59(4):283-7.,2008,19064366
A comparison of oxidative stress in smokers and non-smokers: an in vivo human quantitative study of n-3 lipid peroxidation.,BMC Psychiatry 2008 Apr;8 Suppl 1:S4.,2008,18433514
Exhaled breath malondialdehyde as a marker of effect of exposure to air pollution in children with asthma.,J. Allergy Clin. Immunol. 2008 Apr;121(4):903-9.e6.,2008,18234317
Experimental exposure to wood smoke: effects on airway inflammation and oxidative stress.,Occup Environ Med 2008 May;65(5):319-24.,2008,17704195
Short-term heart variability and oxidative stress in newly diagnosed essential hypertension.,Clin. Exp. Hypertens. 2008 Oct;30(7):486-96.,2008,18855253
Evidence from in vivo 31-phosphorus magnetic resonance spectroscopy phosphodiesters that exhaled ethane is a biomarker of cerebral n-3 polyunsaturated fatty acid peroxidation in humans.,BMC Psychiatry 2008 Apr;8 Suppl 1:S2.,2008,18433512
Daily supplementation with iron increases lipid peroxidation in young women with low iron stores.,Exp. Biol. Med. (Maywood) 2008 Jun;233(6):701-7.,2008,18408148
Airway biomarkers of the oxidant burden in asthma and chronic obstructive pulmonary disease: current and future perspectives.,Int J Chron Obstruct Pulmon Dis 2008 ;3(4):585-603.,2008,19281076
"Hypoxia-related lipid peroxidation: evidences, implications and approaches.",Respir Physiol Neurobiol 2007 Sep;158(2-3):143-50.,2007,17662674
Exhaled breath condensate as a suitable matrix to assess lung dose and effects in workers exposed to cobalt and tungsten.,Environ. Health Perspect. 2004 Sep;112(13):1293-8.,2004,15345342
Malondialdehyde in exhaled breath condensate and urine as a biomarker of air pollution induced oxidative stress.,J Expo Sci Environ Epidemiol 2013 May-Jun;23(3):322-7.,,23321859
Effect of vitamin E supplementation on carbogen-induced amelioration of noise induced hearing loss in man.,Noise Health 2011 Nov-Dec;13(55):452-8.,,22122962
