title,citation,year,pmid
"Metabolic targeting of HIF-dependent glycolysis reduces lactate, increases oxygen consumption and enhances response to high-dose single-fraction radiotherapy in hypoxic solid tumors.",BMC Cancer 2017 Jun;17(1):418.,2017,28619042
Why do premature newborn infants display elevated blood adenosine levels?,Med. Hypotheses 2016 May;90:53-6.,2016,27063086
Unifying the DNA end-processing roles of the artemis nuclease: Ku-dependent artemis resection at blunt DNA ends.,J. Biol. Chem. 2015 Oct;290(40):24036-50.,2015,26276388
Elite female athletes' ventilatory compensation to decreased inspired O2 during the wingate test.,Res Q Exerc Sport 2015 Jun;86(2):182-9.,2015,25539476
"Design and synthesis of 3,3'-biscoumarin-based c-Met inhibitors.",Org. Biomol. Chem. 2014 Jun;12(22):3721-34.,2014,24781551
Effects of ATP release on mucin5AC secretion in airway epithelial cells by mechanical stretching.,Ann. Clin. Lab. Sci. 2014 ;44(4):425-30.,2014,25361927
Helicobacter pylori is not eradicated after triple therapy: a nested PCR based study.,Biomed Res Int 2014 ;2014:483136.,2014,25054141
Chronic hypoxia increases arterial blood pressure and reduces adenosine and ATP induced vasodilatation in skeletal muscle in healthy humans.,Acta Physiol (Oxf) 2014 Aug;211(4):574-84.,2014,24920313
Effect of epithelium ATP release on cyclic pressure-induced airway mucus secretion.,Biosci. Rep. 2014 02;34(1):.,2014,27919041
Role of ATP and adenosine on carotid body function during development.,Respir Physiol Neurobiol 2013 Jan;185(1):57-66.,2013,22721945
Astrocyte-neuron communication: functional consequences.,Neurochem. Res. 2012 Nov;37(11):2464-73.,2012,22669630
"Perinatal asphyxia: current status and approaches towards neuroprotective strategies, with focus on sentinel proteins.",Neurotox Res 2011 May;19(4):603-27.,2011,20645042
Regulation of airway nucleotides in chronic lung diseases.,Subcell. Biochem. 2011 ;55:75-93.,2011,21560045
Computational model for the regulation of extracellular ATP and adenosine in airway epithelia.,Subcell. Biochem. 2011 ;55:51-74.,2011,21560044
Adenosine triphosphate concentration of exhaled breath condensate in asthma.,Chest 2010 Sep;138(3):536-42.,2010,20382721
"Control of breathing by ""nerve glue"".",Sci Signal 2010 Nov;3(147):pe41.,2010,21062991
"Involvement of choline transporter-like proteins, CTL1 and CTL2, in glucocorticoid-induced acceleration of phosphatidylcholine synthesis via increased choline uptake.",Biol. Pharm. Bull. 2010 ;33(4):691-6.,2010,20410607
Current ideas on central chemoreception by neurons and glial cells in the retrotrapezoid nucleus.,J. Appl. Physiol. 2010 May;108(5):1433-9.,2010,20093660
"The role of carbon dioxide (and intracellular pH) in the pathomechanism of several mental disorders. Are the diseases of civilization caused by learnt behaviour, not the stress itself?",Neuropsychopharmacol Hung 2009 Sep;11(3):161-73.,2009,20128395
Ion channel regulation by AMPK: the route of hypoxia-response coupling in thecarotid body and pulmonary artery.,Ann. N. Y. Acad. Sci. 2009 Oct;1177:89-100.,2009,19845611
"[Sudden infant death syndrome (SIDS) caused by ATP-depletion following hyperventilation, tissue-hypoxia and hypermetabolism--a hypothesis].",Z Geburtshilfe Neonatol 2009 Aug;213(4):122-34.,2009,19685404
Purinergic signalling in autonomic control.,Trends Neurosci. 2009 May;32(5):241-8.,2009,19359051
Effects of a prior high-intensity knee-extension exercise on muscle recruitment and energy cost: a combined local and global investigation in humans.,Exp. Physiol. 2009 Jun;94(6):704-19.,2009,19151077
Adenosine triphosphate in exhaled breath condensate of healthy subjects and patients with chronic obstructive pulmonary disease.,Inflamm. Res. 2008 Aug;57(8):367-73.,2008,18787775
Physiological and pathophysiological roles of extracellular ATP in chemosensory control of breathing.,Biochem. Soc. Trans. 2007 Nov;35(Pt 5):1264-8.,2007,17956326
Intravenous ATP infusions can be safely administered in the home setting: a study in pre-terminal cancer patients.,Invest New Drugs 2007 Dec;25(6):571-9.,2007,17786387
Bupivacaine induced cardiac toxicity mimicking an acute non-ST segment elevation myocardial infarction.,Yonsei Med. J. 2007 Apr;48(2):331-6.,2007,17461537
Differential effects of cyclic and constant stress on ATP release and mucociliary transport by human airway epithelia.,J. Physiol. (Lond.) 2007 Apr;580(Pt. 2):577-92.,2007,17317749
Supplemental oxygen and muscle metabolism in mitochondrial myopathy patients.,Eur. J. Appl. Physiol. 2007 Mar;99(5):541-7.,2007,17219172
Assessing the efficacy of HME filters at preventing contamination of breathing systems.,Anaesthesia 2007 Jan;62(1):67-71.,2007,17156229
"The relationship between the VO2 slow component, muscle metabolites and performance during very-heavy exhaustive exercise.",J Sci Med Sport 2007 Jun;10(3):127-34.,2007,16890488
Effect of aging on respiratory system physiology and immunology.,Clin Interv Aging 2006 ;1(3):253-60.,2006,18046878
Gene expression profile of human airway epithelium induced by hyperoxia in vivo.,Am. J. Respir. Cell Mol. Biol. 2006 Oct;35(4):424-35.,2006,16690988
On the peripheral and central chemoreception and control of breathing: an emerging role of ATP.,J. Physiol. (Lond.) 2005 Nov;568(Pt 3):715-24.,2005,16141266
Molecular motions of human cyclin-dependent kinase 2.,J. Biol. Chem. 2005 Apr;280(14):13993-4005.,2005,15695825
Effects of dichloroacetate on VO2 and intramuscular 31P metabolite kinetics during high-intensity exercise in humans.,J. Appl. Physiol. 2003 Sep;95(3):1105-15.,2003,12754181
