title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Risk assessment of population inhalation exposure to volatile organic compounds and carbonyls in urban China.,Environ Int 2014 Dec;73:33-45.,2014,25090575
Blood/air distribution of volatile organic compounds (VOCs) in a nationally representative sample.,Sci. Total Environ. 2012 Mar;419:225-32.,2012,22285084
GC/MS with post-column switching for large volume injection of headspace samples: sensitive determination of volatile organic compounds in human whole blood and urine.,Anal. Chem. 2011 Feb;83(4):1475-9.,2011,21268608
An assessment of indoor air concentrations and health risks of volatile organic compounds in three primary schools.,Int J Hyg Environ Health 2011 Jan;214(1):36-46.,2011,20833585
Health risk assessment of exposure to selected volatile organic compounds emitted from an integrated iron and steel plant.,Inhal Toxicol 2010 Dec;22 Suppl 2:117-25.,2010,20828338
A critical review of naphthalene sources and exposures relevant to indoor and outdoor air.,Int J Environ Res Public Health 2010 07;7(7):2903-39.,2010,20717549
"Methodology for collecting, storing, and analyzing human milk for volatile organic compounds.",J Environ Monit 2010 Jun;12(6):1265-73.,2010,20358052
Cancer risk disparities between hispanic and non-hispanic white populations: the role of exposure to indoor air pollution.,Environ. Health Perspect. 2009 Dec;117(12):1925-31.,2009,20049213
Examination of the relationships between environmental exposures to volatile organic compounds and biochemical liver tests: application of canonical correlation analysis.,Environ. Res. 2009 Feb;109(2):193-9.,2009,19117555
Distributions of personal VOC exposures: a population-based analysis.,Environ Int 2008 Oct;34(7):922-31.,2008,18378311
Relationships between levels of volatile organic compounds in air and blood from the general population.,J Expo Sci Environ Epidemiol 2008 Jul;18(4):421-9.,2008,18059425
Unmetabolized VOCs in urine as biomarkers of low level exposure in indoor environments.,J Occup Health 2007 Mar;49(2):104-10.,2007,17429167
A cancer risk assessment of inner-city teenagers living in New York City and Los Angeles.,Environ. Health Perspect. 2006 Oct;114(10):1558-66.,2006,17035143
Using biologic markers in blood to assess exposure to multiple environmental chemicals for inner-city children 3-6 years of age.,Environ. Health Perspect. 2006 Mar;114(3):453-9.,2006,16507471
"Organic air pollutants inside and outside residences in Shimizu, Japan: levels, sources and risks.",Sci. Total Environ. 2006 Aug;366(2-3):485-99.,2006,16298419
Snoring in primary school children and domestic environment: a Perth school based study.,Respir. Res. 2004 Nov;5:19.,2004,15527500
"Outdoor, indoor, and personal exposure to VOCs in children.",Environ. Health Perspect. 2004 Oct;112(14):1386-92.,2004,15471730
"A comparison of indoor air pollutants in Japan and Sweden: formaldehyde, nitrogen dioxide, and chlorinated volatile organic compounds.",Environ. Res. 2004 Jan;94(1):75-85.,2004,14643289
Respiratory symptoms and peak expiratory flow in children with asthma in relation to volatile organic compounds in exhaled breath and ambient air.,J Expo Anal Environ Epidemiol 2003 Sep;13(5):348-63.,2003,12973363
Blood concentrations of selected volatile organic compounds and neurobehavioral performance in a population-based sample.,Arch Environ Occup Health 2006 Jan-Feb;61(1):17-25.,,17503617
Impact of biogas digesters on cookhouse volatile organic compound exposure for rural Kenyan farmwomen.,J Expo Sci Environ Epidemiol 2015 Mar-Apr;25(2):167-74.,,23899962
