title,citation,year,pmid
Concentration of 8-isoprostanes in the exhaled breath condensate as a marker of oxidative stress in patients with type 1 diabetes.,Adv Respir Med 2018 ;86(1):3-6.,2018,29490415
Global DNA methylation and oxidative stress biomarkers in workers exposed to metal oxide nanoparticles.,J. Hazard. Mater. 2017 Jun;331:329-335.,2017,28273583
Biomarkers in adult asthma: a systematic review of 8-isoprostane in exhaled breath condensate.,J Breath Res 2017 02;11(1):016011.,2017,28102831
Cardio-Respiratory Effects of Air Pollution in a Panel Study of Outdoor Physical Activity and Health in Rural Older Adults.,J. Occup. Environ. Med. 2017 04;59(4):356-364.,2017,28628045
Post-prandial systemic 8-isoprostane increases after consumption of moderate and high-fat meals in insufficiently active males.,Nutr Res 2017 Mar;39:61-68.,2017,28385290
8-isoprostane as Oxidative Stress Marker in Coal Mine Workers.,Biomed. Environ. Sci. 2016 Aug;29(8):589-593.,2016,27660223
[Airway oxidative stress and inflammation markers in chronic obstructive pulmonary diseases(COPD) patients are linked with exposure to traffic-related air pollution: a panel study].,Zhonghua Yu Fang Yi Xue Za Zhi 2016 May;50(5):411-7.,2016,27141896
Snoring as a Determinant Factor of Oxidative Stress in the Airway of Patients with Obstructive Sleep Apnea.,Lung 2016 06;194(3):469-73.,2016,27048175
Exhaled and non-exhaled non-invasive markers for assessment of respiratory inflammation in patients with stable COPD and healthy smokers.,J Breath Res 2016 Jan;10(1):017102.,2016,26814886
Increased exhaled breath condensate 8-isoprostane after a swimming session in competitive swimmers.,Eur J Sport Sci 2016 Aug;16(5):569-76.,2016,26279287
Systemic inflammation and oxidative stress post-lung resection: Effect of pretreatment with N-acetylcysteine.,Respirology 2016 Jan;21(1):180-7.,2016,26503312
Endothelial dysfunction and oxidative stress in children with sleep disordered breathing: role of NADPH oxidase.,Atherosclerosis 2015 May;240(1):222-7.,2015,25805361
Domestic airborne black carbon levels and 8-isoprostane in exhaled breath condensate among children in New York City.,Environ. Res. 2014 Nov;135:105-10.,2014,25262082
Airway oxidative stress and inflammation markers in exhaled breath from children are linked with exposure to black carbon.,Environ Int 2014 Dec;73:440-6.,2014,25244707
8-Isoprostane in exhaled breath condensate of patients with non-small cell lung cancer: the effect of chemotherapy.,Anticancer Res. 2014 Sep;34(9):5143-5.,2014,25202105
Oxidative stress in cystic fibrosis patients with Burkholderia cenocepacia airway colonization: relation of 8-isoprostane concentration in exhaled breath condensate to lung function decline.,Folia Microbiol. (Praha) 2014 May;59(3):217-22.,2014,24132725
Influence of CPAP treatment on airway and systemic inflammation in OSAS patients.,Sleep Breath 2014 May;18(2):251-6.,2014,22945540
Urinary concentration of 8-isoprostane as marker of severity of pediatric OSAS.,Sleep Breath 2014 Dec;18(4):723-9.,2014,24436094
Oxidative stress in adolescent passive smokers living in urban and rural environments.,Int J Hyg Environ Health 2014 Mar;217(2-3):287-93.,2014,23890683
Cysteinyl leukotriene levels correlate with 8-isoprostane levels in exhaled breath condensates of atopic and healthy children.,Pediatr. Res. 2013 Nov;74(5):584-91.,2013,24153334
Evaluation of oxidative status with exhaled breath 8-isoprostane levels in patients with hyperthyroidism.,Endocr Metab Immune Disord Drug Targets 2013 Dec;13(4):306-10.,2013,24107071
"Effect of allergen inhalation on airway oxidant stress, using exhaled breath condensate 8-isoprostane, in mild asthma.",J Asthma 2013 Jun;50(5):449-56.,2013,23461590
Traffic-related air pollutants and exhaled markers of airway inflammation and oxidative stress in New York City adolescents.,Environ. Res. 2013 Feb;121:71-8.,2013,23177171
Sex-specific differences in hyperoxic lung injury in mice: implications for acute and chronic lung disease in humans.,Toxicol. Appl. Pharmacol. 2013 Oct;272(2):281-90.,2013,23792423
Obesity and asthma: a coincidence or a causal relationship? A systematic review.,Respir Med 2013 Sep;107(9):1287-300.,2013,23642708
15-F₂t isoprostane as biomarker of oxidative stress induced by tobacco smoke and occupational exposure to formaldehyde in workers of plastic laminates.,Sci. Total Environ. 2013 Jan;442:20-5.,2013,23178760
"Melatonin reduces lung oxidative stress in patients with chronic obstructive pulmonary disease: a randomized, double-blind, placebo-controlled study.",J. Pineal Res. 2012 Oct;53(3):238-44.,2012,22507631
