title,citation,year,pmid
Elevated exhalation of hydrogen peroxide in patients with non-small cell lung cancer is not affected by chemotherapy.,Redox Rep. 2017 Nov;22(6):308-314.,2017,27611345
A chemiluminescent platform for smartphone monitoring of H2O2 in human exhaled breath condensates.,Methods 2016 10;109:123-130.,2016,27233749
Measured Pulmonary and Systemic Markers of Inflammation and Oxidative Stress Following Wildland Firefighter Simulations.,J. Occup. Environ. Med. 2016 Apr;58(4):407-13.,2016,27058482
Relationships between adult asthma and oxidative stress markers and pH in exhaled breath condensate: a systematic review.,Allergy 2016 06;71(6):741-57.,2016,26896172
The intake of maqui (Aristotelia chilensis) berry extract normalizes H2O2 and IL-6 concentrations in exhaled breath condensate from healthy smokers - an explorative study.,Nutr J 2015 Mar;14:27.,2015,25889552
Hydrogen peroxide content and pH of expired breath condensate from patients with asthma and COPD.,COPD 2014 Feb;11(1):81-7.,2014,24111595
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Decomposition and solubility of H2O2: implications in exhaled breath condensate.,J Breath Res 2013 Dec;7(4):046001.,2013,24002883
Exhaled breath condensate: a comprehensive update.,Clin. Chem. Lab. Med. 2013 Jul;51(7):1343-61.,2013,23420285
Secondhand smoke exposure induces acutely airway acidification and oxidative stress.,Respir Med 2013 Feb;107(2):172-9.,2013,23218453
Exercise in cold air and hydrogen peroxide release in exhaled breath condensate.,Adv. Exp. Med. Biol. 2013 ;756:169-77.,2013,22836633
"Virtual electrochemical nitric oxide analyzer using copper, zinc superoxide dismutase immobilized on carbon nanotubes in polypyrrole matrix.",Talanta 2012 Oct;100:168-74.,2012,23141325
Hydrogen peroxide in exhaled breath condensate in asthmatic children during acute exacerbation and after treatment.,Respiration 2012 ;84(4):291-8.,2012,23018317
[Obstructive sleep apnoea and oxidative stress].,Pneumologie 2012 Oct;66(10):610-5.,2012,23011770
Interest of exhaled biomarkers in occupational asthma to latex: a case report.,Arch Environ Occup Health 2012 ;67(3):170-6.,2012,22845730
[Assessment of airway inflammation in chronic obstructive pulmonary disease: biomarkers in exhaled breath condensate].,Orv Hetil 2012 Jun;153(22):843-51.,2012,22641258
Differential inflammatory response to inhaled lipopolysaccharide targeted either to the airways or the alveoli in man.,PLoS ONE 2012 ;7(4):e33505.,2012,22496751
Non-invasive biomarkers of lung inflammation in smoking subjects.,Curr. Med. Chem. 2012 ;19(2):187-96.,2012,22320297
Pulmonary oxidative stress is induced by maximal exercise in young cigarette smokers.,Nicotine Tob. Res. 2012 Feb;14(2):243-7.,2012,22080589
Assessment of reproducibility of exhaled hydrogen peroxide concentration and the effect of breathing pattern in healthy subjects.,J Aerosol Med Pulm Drug Deliv 2011 Dec;24(6):271-5.,2011,21689021
Hydrogen peroxide in exhaled breath condensate in patients with asthma: a promising biomarker?,Chest 2011 Jul;140(1):108-116.,2011,21436249
Exhaled breath condensate in asthma: from bench to bedside.,Curr. Med. Chem. 2011 ;18(10):1432-43.,2011,21428897
Standardization of exhaled breath condensate: effects of different de-aeration protocols on pH and H₂O₂ concentrations.,J Breath Res 2011 Mar;5(1):011001.,2011,21389585
[Comparison of local and systemic inflammatory markers in patients with community-acquired pneumonia and pneumonia coexisting with lung cancer].,Pneumonol Alergol Pol 2011 ;79(2):90-8.,2011,21351059
Exhaled breath condensates in asthma: diagnostic and therapeutic implications.,J Breath Res 2010 Dec;4(4):047001.,2010,21383487
[The monitoring and its clinical significance of the hydrogen peroxide and interleukin-6 levels in exhaled breath condensate of chronic obstructive pulmonary diseases patients undergoing mechanical ventilation].,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue 2010 Aug;22(8):455-8.,2010,20804645
Fractionated exhaled breath condensate collection shows high hydrogen peroxide release in the airways.,J Aerosol Med Pulm Drug Deliv 2010 Jun;23(3):129-35.,2010,20073556
"Hydrogen peroxide release and acid-base status in exhaled breath condensate at rest and after maximal exercise in young, healthy subjects.",Eur. J. Med. Res. 2009 Dec;14 Suppl 4:134-9.,2009,20156744
[The clinical significance of noninvasive inflammatory markers in exhaled breath condensate and induced sputum in persistent asthmatic patients].,Zhonghua Nei Ke Za Zhi 2009 Apr;48(4):299-303.,2009,19576119
Elevated levels of oxidative stress markers in exhaled breath condensate.,J Thorac Oncol 2009 Feb;4(2):172-8.,2009,19179892
Decreased H2O2 in exhaled breath condensate during pregnancy--feasible effect of 17beta-estradiol.,Respir Physiol Neurobiol 2008 Jul;162(2):152-9.,2008,18585485
[Determination of the hydrogen peroxide level in exhaled breath condensate of patients under mechanical ventilation].,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue 2008 Jun;20(6):324-6.,2008,18549707
[Measurements of L-lactate and H2O2 in exhaled breath condensate at rest and mild to moderate exercise in young and healthy subjects].,Pneumologie 2008 Sep;62(9):541-7.,2008,18546081
"Collecting exhaled breath condensate (EBC) with two condensers in series: a promising technique for studying the mechanisms of EBC formation, and the volatility of selected biomarkers.",J Aerosol Med Pulm Drug Deliv 2008 Mar;21(1):35-44.,2008,18518830
Detection of occult lung impairment in welders by induced sputum particles and breath oxidation.,Am. J. Ind. Med. 2008 Jul;51(7):503-11.,2008,18459140
Evaluation of H2O2 and pH in exhaled breath condensate samples: methodical and physiological aspects.,Biomarkers 2008 May;13(3):319-41.,2008,18415804
Biomarkers in the exhaled breath condensate of healthy adults: mapping the path towards reference values.,Curr. Med. Chem. 2008 ;15(6):620-30.,2008,18336277
A sensitive chemiluminescence method for the determination of H2O2 in exhaled breath condensate.,Anal Sci 2008 Feb;24(2):201-5.,2008,18270409
Biomarker reproducibility in exhaled breath condensate collected with different condensers.,Eur. Respir. J. 2008 May;31(5):934-42.,2008,18184682
Comparison of biomarkers in exhaled breath condensate and bronchoalveolar lavage.,Am. J. Respir. Crit. Care Med. 2007 Feb;175(3):222-7.,2007,17110649
Elevated exhalation of hydrogen peroxide and circulating IL-18 in patients with pulmonary tuberculosis.,Respir Med 2007 Mar;101(3):574-80.,2007,16890418
A new peroxide-based flexible endoscope-compatible high-level disinfectant.,Am J Infect Control 2006 Nov;34(9):571-7.,2006,17097451
[Hydrogen peroxide is increased after sleep in exhaled breath condensate of patients with obstructive sleep apnea-hypopnea syndrome].,Zhonghua Jie He He Hu Xi Za Zhi 2006 Aug;29(8):541-4.,2006,17074268
Free radicals in exhaled breath condensate in cystic fibrosis and healthy subjects.,Free Radic. Res. 2006 Sep;40(9):901-9.,2006,17015269
Optimising hydrogen peroxide measurement in exhaled breath condensate.,Redox Rep. 2006 ;11(2):78-84.,2006,16686998
Exhaled markers of oxidative stress in idiopathic pulmonary fibrosis.,Eur. J. Clin. Invest. 2006 May;36(5):362-7.,2006,16634841
Association of hydrogen peroxide in exhaled breath condensates from infants with respiratory distress syndrome with the development of chronic lung disease.,Arch. Dis. Child. Fetal Neonatal Ed. 2006 Mar;91(2):F155.,2006,16492961
Examining the exhaled levels of hydrogen peroxide in rheumatoid arthritis: a pilot study.,Ann. Rheum. Dis. 2006 Sep;65(9):1252-3.,2006,16905587
Time course of exhaled hydrogen peroxide and nitric oxide during chemotherapy.,Eur. Respir. J. 2006 May;27(5):1033-9.,2006,16707398
Expression of priming-associated cellular markers on neutrophils during an exacerbation of COPD.,Respir Med 2006 Oct;100(10):1791-9.,2006,16531033
Oxidative stress and antioxidant deficiencies in asthma: potential modification by diet.,Redox Rep. 2005 ;10(5):247-55.,2005,16354413
