title,citation,year,pmid
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Occupational health risks among trichloroethylene-exposed workers in a clock manufacturing factory.,Glob J Health Sci 2014 Aug;7(1):161-72.,2014,25560356
Indoor tetrachloroethylene levels and determinants in Paris dwellings.,Environ. Res. 2013 Jan;120:1-6.,2013,23127492
Comparative assessments of VOC emission rates and associated health risks from wastewater treatment processes.,J Environ Monit 2012 Sep;14(9):2464-74.,2012,22842594
Development of a human Physiologically Based Pharmacokinetic (PBPK) Toolkit for environmental pollutants.,Int J Mol Sci 2011 ;12(11):7469-80.,2011,22174611
Presystemic elimination of trichloroethylene in rats following environmentally relevant oral exposures.,Drug Metab. Dispos. 2009 Oct;37(10):1994-8.,2009,19581386
Transgenic plants for phytoremediation: helping nature to clean up environmental pollution.,Trends Biotechnol. 2008 May;26(5):225-7.,2008,18353473
Development of a screening approach to interpret human biomonitoring data on volatile organic compounds: reverse dosimetry on biomonitoring data for trichloroethylene.,Risk Anal. 2007 Oct;27(5):1223-36.,2007,18076492
Extrahepatic metabolism by CYP2E1 in PBPK modeling of lipophilic volatile organic chemicals: impacts on metabolic parameter estimation and prediction of dose metrics.,J. Toxicol. Environ. Health Part A 2007 Sep;70(18):1527-41.,2007,17710613
Association between personal exposure to volatile organic compounds and asthma among US adult population.,Int Arch Occup Environ Health 2007 Aug;80(8):711-9.,2007,17357796
Development of physiologically based toxicokinetic models for improving the human indoor exposure assessment to water contaminants: trichloroethylene and trihalomethanes.,J. Toxicol. Environ. Health Part A 2006 Dec;69(23):2095-136.,2006,17060096
Changes in breath trihalomethane levels resulting from household water-use activities.,Environ. Health Perspect. 2006 Apr;114(4):514-21.,2006,16581538
Dermal exposure to jet fuel JP-8 significantly contributes to the production of urinary naphthols in fuel-cell maintenance workers.,Environ. Health Perspect. 2006 Feb;114(2):182-5.,2006,16451852
Influence of tap water quality and household water use activities on indoor air and internal dose levels of trihalomethanes.,Environ. Health Perspect. 2005 Jul;113(7):863-70.,2005,16002374
Neurotoxic and pharmacokinetic responses to trichloroethylene as a function of exposure scenario.,Environ. Health Perspect. 2000 May;108 Suppl 2:317-22.,2000,10807561
"A human physiologically based pharmacokinetic model for trichloroethylene and its metabolites, trichloroacetic acid and free trichloroethanol.",Toxicol. Appl. Pharmacol. 1998 Oct;152(2):339-59.,1998,9853003
Trichloroethylene [correction of Trichloroethene] levels in human blood and exhaled breath from controlled inhalation exposure.,Environ. Health Perspect. 1998 Sep;106(9):531-3.,1998,9841213
Trichloroethene levels in human blood and exhaled breath from controlled inhalation exposure.,Environ. Health Perspect. 1998 Sep;106(9):573-80.,1998,9721257
"Ingestion, inhalation, and dermal exposures to chloroform and trichloroethene from tap water.",Environ. Health Perspect. 1996 Jan;104(1):48-51.,1996,8834861
Pharmacokinetic modeling of trichloroethylene and trichloroacetic acid in humans.,Risk Anal. 1993 Feb;13(1):71-86.,1993,8451462
Pharmacokinetics for regulatory risk analysis: the case of trichloroethylene.,Regul. Toxicol. Pharmacol. 1988 Dec;8(4):447-66.,1988,3222486
Health effects of environmental contaminant exposure: an intrafile comparison of the Trichloroethylene Subregistry.,Arch. Environ. Health 1999 Jul-Aug;54(4):231-41.,,10433181
