title,citation,year,pmid
Clinical assessment of the lag-time and tmax of pellets with controlled release of glucose: in vitro/in vivo comparison using 13 C-breath test.,Biopharm Drug Dispos 2017 Nov;38(8):458-463.,2017,28670738
Breath gas monitoring during a glucose challenge by a combined PTR-QMS/GC×GC-TOFMS approach for the verification of potential volatile biomarkers.,J Breath Res 2016 06;10(3):036003.,2016,27341456
"Insulin sensitivity index (ISI0, 120) potentially linked to carbon isotopes of breath CO2 for pre-diabetes and type 2 diabetes.",Sci Rep 2015 Jul;5:11959.,2015,26148706
Non-invasive 13C-glucose breath test using residual gas analyzer-mass spectrometry: a novel tool for screening individuals with pre-diabetes and type 2 diabetes.,J Breath Res 2014 Sep;8(3):036001.,2014,24946152
Current understandings and perspectives on non-cancer health effects of benzene: a global concern.,Toxicol. Appl. Pharmacol. 2014 Apr;276(2):83-94.,2014,24589379
[13C]glucose breath testing provides a noninvasive measure of insulin resistance: calibration analyses against clamp studies.,Diabetes Technol. Ther. 2014 Feb;16(2):102-12.,2014,24116833
Noninvasive monitoring of glucose levels: is exhaled breath the answer?,J Diabetes Sci Technol 2012 May;6(3):659-64.,2012,22768898
Design and conduct of Caudwell Xtreme Everest: an observational cohort study of variation in human adaptation to progressive environmental hypoxia.,BMC Med Res Methodol 2010 Oct;10:98.,2010,20964858
Aluminum gallium nitride (GaN)/GaN high electron mobility transistor-based sensors for glucose detection in exhaled breath condensate.,J Diabetes Sci Technol 2010 Jan;4(1):171-9.,2010,20167182
Nitric oxide gas phase release in human small airway epithelial cells.,Respir. Res. 2009 Jan;10:3.,2009,19152703
Influenza virus in human exhaled breath: an observational study.,PLoS ONE 2008 Jul;3(7):e2691.,2008,18628983
"NFV, an HIV-1 protease inhibitor, induces growth arrest, reduced Akt signalling, apoptosis and docetaxel sensitisation in NSCLC cell lines.",Br. J. Cancer 2006 Dec;95(12):1653-62.,2006,17133272
Exhaled breath condensates: a potential novel technique for detecting aspiration.,Am. J. Med. 2003 Aug;115 Suppl 3A:137S-143S.,2003,12928090
"Microbiological and fermentation characteristics of togwa, a Tanzanian fermented food.",Int. J. Food Microbiol. 2003 Feb;80(3):187-99.,2003,12423921
Effect of codeine and loperamide on upper intestinal transit and absorption in normal subjects and patients with postvagotomy diarrhoea.,Gut 1988 Mar;29(3):312-8.,1988,3356363
