title,citation,year,pmid
Sensitive determination of glutathione in biological samples by capillary electrophoresis with green (515 nm) laser-induced fluorescence detection.,J Chromatogr A 2015 Apr;1391:102-8.,2015,25757819
Exhaled breath condensate in intubated neonates--a window into the lung's glutathione status.,Respir. Res. 2014 Jan;15:1.,2014,24397246
Exhaled breath condensate: a promising source for biomarkers of lung disease.,ScientificWorldJournal 2012 ;2012:217518.,2012,23365513
Chronic-alcohol-abuse-induced oxidative stress in the development of acute respiratory distress syndrome.,ScientificWorldJournal 2012 ;2012:740308.,2012,23346021
Genotoxic effects in swimmers exposed to disinfection by-products in indoor swimming pools.,Environ. Health Perspect. 2010 Nov;118(11):1531-7.,2010,20833606
Current perspectives of oxidative stress and its measurement in chronic obstructive pulmonary disease.,COPD 2010 Aug;7(4):291-306.,2010,20673039
Chlorobenzene induces oxidative stress in human lung epithelial cells in vitro.,Toxicol. Appl. Pharmacol. 2010 Jan;242(1):100-8.,2010,19800902
Genetic polymorphisms influence the susceptibility of men to sperm DNA damage associated with exposure to air pollution.,Mutat. Res. 2010 Jan;683(1-2):9-15.,2010,19800896
Moderate altitude but not additional endurance training increases markers of oxidative stress in exhaled breath condensate.,Eur. J. Appl. Physiol. 2009 Jul;106(4):599-604.,2009,19363619
Styrene induces an inflammatory response in human lung epithelial cells via oxidative stress and NF-kappaB activation.,Toxicol. Appl. Pharmacol. 2008 Sep;231(2):241-7.,2008,18554678
Ambient particulate matter (PM2.5): physicochemical characterization and metabolic activation of the organic fraction in human lung epithelial cells (A549).,Environ. Res. 2007 Oct;105(2):212-23.,2007,17462623
Reactive oxidant species in asthma.,Curr Opin Pulm Med 2006 Jan;12(1):7-11.,2006,16357572
Oxidative stress induction by short time exposure to ozone on THP-1 cells.,Toxicol In Vitro 2006 Feb;20(1):101-8.,2006,16055301
Advanced glycation end-products in sickle cell anaemia.,Br. J. Haematol. 2005 Jan;128(1):112-8.,2005,15606557
Estimation of interindividual variation in oxidative metabolism of dichloromethane in human volunteers.,Toxicol. Lett. 2004 Dec;154(3):201-16.,2004,15501612
Non-invasive biomarkers of oxidative stress: reproducibility and methodological issues.,Redox Rep. 2004 ;9(3):125-43.,2004,15327743
Biomarkers of oxidative stress after controlled human exposure to ozone.,Toxicol. Lett. 2002 Aug;134(1-3):219-25.,2002,12191881
Characterization of non-small-cell lung cancer cell lines established before and after chemotherapy.,Lung Cancer 2002 Mar;35(3):305-14.,2002,11844606
Microscopic modeling of NO and S-nitrosoglutathione kinetics and transport in human airways.,J. Appl. Physiol. 2001 Mar;90(3):777-88.,2001,11181583
