title,citation,year,pmid
Enteral feeding reduces metabolic activity of the intestinal microbiome in Crohn's disease: an observational study.,Eur J Clin Nutr 2016 09;70(9):1052-6.,2016,27167669
"Chemosensory perception, symptoms and autonomic responses during chemical exposure in multiple chemical sensitivity.",Int Arch Occup Environ Health 2016 Jan;89(1):79-88.,2016,25917753
Chemoresponsiveness and breath physiology in anosmia.,Adv. Exp. Med. Biol. 2015 ;837:35-9.,2015,25310952
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Responses of Lucilia sericata Meigen (Diptera: Calliphoridae) to cadaveric volatile organic compounds.,J. Forensic Sci. 2012 Mar;57(2):386-90.,2012,22150206
Dynamics of nasal irritation from pulsed homologous alcohols.,Chem. Senses 2010 Nov;35(9):823-9.,2010,20858746
A preliminary investigation of exhaled breath from patients with celiac disease using selected ion flow tube mass spectrometry.,J Gastrointestin Liver Dis 2010 Mar;19(1):15-20.,2010,20361069
Odor annoyance of environmental chemicals: sensory and cognitive influences.,J. Toxicol. Environ. Health Part A 2008 ;71(11-12):776-85.,2008,18569576
A new oral formulation for the release of sodium butyrate in the ileo-cecal region and colon.,World J. Gastroenterol. 2007 Feb;13(7):1079-84.,2007,17373743
Butanol ingestion in an airport hangar.,Hum Exp Toxicol 2006 Apr;25(4):195-7.,2006,16696295
"Dermal, oral, and inhalation pharmacokinetics of methyl tertiary butyl ether (MTBE) in human volunteers.",Toxicol. Sci. 2004 Feb;77(2):195-205.,2004,14600279
Cryogenic oven-trapping gas chromatography for analysis of volatile organic compounds in body fluids.,Anal Bioanal Chem 2002 May;373(1-2):75-80.,2002,12012175
Exposure reconstruction for reducing uncertainty in risk assessment: example using MTBE biomarkers and a simple pharmacokinetic model.,Biomarkers 2007 Jul-Aug;12(4):331-48.,,17564841
