title,citation,year,pmid
Volatile organic compounds in plasma for the diagnosis of esophageal adenocarcinoma: a pilot study.,Gastrointest. Endosc. 2016 Oct;84(4):597-603.,2016,26646671
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
Determination of exposure of dispensary drug preparers to cyclophosphamide by passive sampling and liquid chromatography with tandem mass spectrometry.,J Oncol Pharm Pract 2013 Mar;19(1):31-7.,2013,22753612
Could houseplants improve indoor air quality in schools?,J. Toxicol. Environ. Health Part A 2012 ;75(22-23):1371-80.,2012,23095155
Colorectal cancer screening with odour material by canine scent detection.,Gut 2011 Jun;60(6):814-9.,2011,21282130
Laser spectroscopy on volatile sulfur compounds: possibilities for breath analysis.,J Breath Res 2011 Jun;5(2):024002.,2011,21593551
Evaporative gasoline emissions and asthma symptoms.,Int J Environ Res Public Health 2010 08;7(8):3051-62.,2010,20948946
Biological exposure assessment to tetrachloroethylene for workers in the dry cleaning industry.,Environ Health 2008 Apr;7:12.,2008,18412959
Increased pentane and carbon disulfide in the breath of patients with schizophrenia.,J. Clin. Pathol. 1993 Sep;46(9):861-4.,1993,8227439
Special nerve functions and colour discrimination in workers with long term low level exposure to carbon disulphide.,Br J Ind Med 1990 Sep;47(9):589-95.,1990,2207029
"Evaluation of occupational exposure to carbon disulphide by blood, exhaled air, and urine analysis.",Am. J. Ind. Med. 1985 ;8(2):143-53.,1985,4050795
Elimination kinetics of disulfiram in alcoholics after single and repeated doses.,Clin. Pharmacol. Ther. 1984 Oct;36(4):520-6.,1984,6090051
Assessing disulfiram compliance: validational study of an abbreviated breath test procedure.,Addict Behav 1983 ;8(4):361-8.,1983,6677076
Elimination characteristics of disulfiram over time in five alcoholic volunteers: a preliminary study.,Am J Psychiatry 1982 Dec;139(12):1596-8.,1982,6293320
Methods for detecting disulfiram in biologic fluids: application in studies of compliance and effect of divalent cations on bioavailability.,Alcohol. Clin. Exp. Res. 1978 Oct;2(4):375-80.,1978,216281
"Proceedings: The determination of disulfiram in blood, and of exhaled carbon disulphide using cathode ray polarography.",J. Pharm. Pharmacol. 1974 Dec;26 Suppl:95P-96P.,1974,4156780
