title,citation,year,pmid
"Biomonitoring-based exposure assessment of benzene, toluene, ethylbenzene and xylene among workers at petroleum distribution facilities.",Ecotoxicol. Environ. Saf. 2018 Mar;149:19-25.,2018,29145162
"Detection rates, trends in and factors affecting observed levels of selected volatile organic compounds in blood among US adolescents and adults.",Environ. Toxicol. Pharmacol. 2017 Dec;56:21-28.,2017,28869856
Volatile Organic Compounds in Blood as Biomarkers of Exposure to JP-8 Jet Fuel Among US Air Force Personnel.,J. Occup. Environ. Med. 2016 Jan;58(1):24-9.,2016,26716845
Blood miRNAs as sensitive and specific biological indicators of environmental and occupational exposure to volatile organic compound (VOC).,Int J Hyg Environ Health 2015 Oct;218(7):590-602.,2015,26141241
Occupational exposure of diesel station workers to BTEX compounds at a bus depot.,Int J Environ Res Public Health 2015 Apr;12(4):4101-15.,2015,25872020
A review of the volatiles from the healthy human body.,J Breath Res 2014 Mar;8(1):014001.,2014,24421258
"Risk assessment of volatile organic compounds benzene, toluene, ethylbenzene, and xylene (BTEX) in consumer products.",J. Toxicol. Environ. Health Part A 2014 ;77(22-24):1502-21.,2014,25343298
Evaluation of the efficiency of an experimental biocover to reduce BTEX emissions from landfill biogas.,Chemosphere 2014 Feb;97:98-101.,2014,24238915
"Assessment of impacts produced by anthropogenic sources in a little city near an important industrial area (Modugno, Southern Italy).",ScientificWorldJournal 2013 ;2013:150397.,2013,23476120
Application of passive sampling on assessment of concentration distribution and health risk of volatile organic compounds at a high-tech science park.,Environ Monit Assess 2013 Jan;185(1):181-96.,2013,22359069
"Occupational exposure of gasoline station workers to BTEX compounds in Bangkok, Thailand.",Int J Occup Environ Med 2012 Jul;3(3):117-25.,2012,23022861
"Spatial variability in levels of benzene, formaldehyde, and total benzene, toluene, ethylbenzene and xylenes in New York City: a land-use regression study.",Environ Health 2012 Jul;11:51.,2012,22849853
CYP2E1 phenotype in Mexican workers occupationally exposed to low levels of toluene.,Toxicol. Lett. 2012 Apr;210(2):254-63.,2012,22342293
Airways changes related to air pollution exposure in wheezing children.,Eur. Respir. J. 2012 Feb;39(2):246-53.,2012,21719492
"Air pollution and general practitioner access and utilization: a population based study in Sarnia, 'Chemical Valley,' Ontario.",Environ Health 2011 Aug;10:71.,2011,21827645
