title,citation,year,pmid
Oral fructose absorption in obese children with non-alcoholic fatty liver disease.,Pediatr Obes 2015 Jun;10(3):188-95.,2015,24961681
Diagnostic and prognostic role of biomarkers for pulmonary hypertension in interstitial lung disease.,Respir Med 2012 Dec;106(12):1749-55.,2012,23034317
Weight loss and sleep-disordered breathing in childhood obesity: effects on inflammation and uric acid.,Obesity (Silver Spring) 2012 Jan;20(1):172-7.,2012,21938074
Targeted dual-energy single-source CT for characterisation of urinary calculi: experimental and clinical experience.,Eur Radiol 2012 Jan;22(1):251-8.,2012,21847542
"Comparison of acute effects of red wine, beer and vodka against hyperoxia-induced oxidative stress and increase in arterial stiffness in healthy humans.",Atherosclerosis 2011 Oct;218(2):530-5.,2011,21803358
Altered oxidative state in schoolchildren with asthma and allergic rhinitis.,Pediatr Allergy Immunol 2011 Mar;22(2):178-85.,2011,20633237
Inflammatory markers and exposure to occupational air pollutants.,Inhal Toxicol 2010 Nov;22(13):1083-90.,2010,21029032
Antioxidant airway responses following experimental exposure to wood smoke in man.,Part Fibre Toxicol 2010 Aug;7:21.,2010,20727160
"Experimental exposure to 1,1,1,3,3-pentafluoropropane (HFC-245fa): uptake and disposition in humans.",Toxicol. Sci. 2010 Feb;113(2):326-36.,2010,19915083
Uric acid excretion in North American and Southeast European children with obstructive sleep apnea.,Sleep Med. 2010 May;11(5):489-93.,2010,20181522
Acute effects of exposure to vapours of standard and dearomatized white spirits in humans. 2. Irritation and inflammation.,J Appl Toxicol 2009 Apr;29(3):263-74.,2009,19086013
"Acute, food-induced moderate elevation of plasma uric acid protects against hyperoxia-induced oxidative stress and increase in arterial stiffness in healthy humans.",Atherosclerosis 2009 Nov;207(1):255-60.,2009,19457484
Sleep-disordered breathing and uric acid in overweight and obese children and adolescents.,Chest 2007 Jul;132(1):76-80.,2007,17505038
[Blood uric acid levels in patients with sleep-disordered breathing].,Arch. Bronconeumol. 2006 Oct;42(10):492-500.,2006,17067515
"Toxicokinetics of 1,1,1,2-tetrafluoroethane (HFC-134a) in male volunteers after experimental exposure.",Toxicol. Lett. 2006 Nov;167(1):54-65.,2006,17030466
"The effect of sulphurous air pollutant exposures on symptoms, lung function, exhaled nitric oxide, and nasal epithelial lining fluid antioxidant concentrations in normal and asthmatic adults.",Occup Environ Med 2003 Nov;60(11):e15.,2003,14573726
"Severe 2,3,7,8-tetrachlorodibenzo-p-dioxin (TCDD) intoxication: insights into the measurement of hepatic cytochrome P450 1A2 induction.",Clin. Pharmacol. Ther. 2002 Aug;72(2):163-74.,2002,12189363
Hounsfield unit density in the determination of urinary stone composition.,Urology 2001 Aug;58(2):170-3.,2001,11489691
Accelerated caffeine metabolism after omeprazole treatment is indicated by urinary metabolite ratios: coincidence with plasma clearance and breath test.,Clin. Pharmacol. Ther. 1994 Apr;55(4):402-11.,1994,8162667
Allopurinol influences aminophenazone elimination.,Clin Pharmacokinet 1990 Aug;19(2):167-9.,1990,2379382
Changes after quitting cigarette smoking.,Circulation 1980 Apr;61(4):716-23.,1980,7357713
