name,meshid,meshname,scope
asbestosis,D001195,Asbestosis,"A form of pneumoconiosis caused by inhalation of asbestos fibers which elicit potent inflammatory responses in the parenchyma of the lung. The disease is
characterized by interstitial fibrosis of the lung, varying from scattered sites 
to extensive scarring of the alveolar interstitium."
asthma,D001249,Asthma,"A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and
intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of 
airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL)."
asthmatic children,D002648,Child,"A person 6 to 12 years of age. An individual 2 to 5 years old is CHILD, PRESCHOOL."
occupational asthma (OA),D059366,"Asthma, Occupational","Asthma attacks caused, triggered, or exacerbated by OCCUPATIONAL EXPOSURE. Year introduced: 2012"
status asthmaticus,D013224,Status Asthmaticus,"A sudden intense and continuous aggravation of a state of asthma, marked by dyspnea to the point of exhaustion and collapse and not responding to the usual
therapeutic efforts.
Year introduced: 1991(1985)"
chronic cough,D002908,Chronic Disease,"Diseases which have one or more of the following characteristics: they are permanent, leave residual disability, are caused by nonreversible pathological
alteration, require special training of the patient for rehabilitation, or may be
expected to require a long period of supervision, observation, or care.
(Dictionary of Health Services Management, 2d ed)"
cystic fibrosis,D003550,Cystic Fibrosis,"An autosomal recessive genetic disease of the EXOCRINE GLANDS. It is caused by mutations in the gene encoding the CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE
REGULATOR expressed in several organs including the LUNG, the PANCREAS, the
BILIARY SYSTEM, and the SWEAT GLANDS. Cystic fibrosis is characterized by
epithelial secretory dysfunction associated with ductal obstruction resulting in 
AIRWAY OBSTRUCTION; chronic RESPIRATORY INFECTIONS; PANCREATIC INSUFFICIENCY;
maldigestion; salt depletion; and HEAT PROSTRATION.
Year introduced: 1967"
upper and lower airway inflammation in Atopic dermatitis (AD),D003876,"Dermatitis, Atopic","A chronic inflammatory genetically determined disease of the skin marked by increased ability to form reagin (IgE), with increased susceptibility to allergic
rhinitis and asthma, and hereditary disposition to a lowered threshold for
pruritus. It is manifested by lichenification, excoriation, and crusting, mainly 
on the flexural surfaces of the elbow and knee. In infants it is known as
infantile eczema."
Heart Failure,D006333,Heart Failure,"A heterogeneous condition in which the heart is unable to pump out sufficient blood to meet the metabolic need of the body. Heart failure can be caused by
structural defects, functional abnormalities (VENTRICULAR DYSFUNCTION), or a
sudden overload beyond its capacity. Chronic heart failure is more common than
acute heart failure which results from sudden insult to cardiac function, such as
MYOCARDIAL INFARCTION.
Year introduced: 2008 (1966)"
primary ciliary dyskinesia,D007619,Kartagener Syndrome,"An autosomal recessive disorder characterized by a triad of DEXTROCARDIA; INFERTILITY; and SINUSITIS. The syndrome is caused by mutations of DYNEIN genes
encoding motility proteins which are components of sperm tails, and CILIA in the 
respiratory and the reproductive tracts.
Year introduced: 2002 (1963)"
